A1BG	ENSP00000263100
DDX41	ENSP00000330349
DDX42	ENSP00000464050
DDX43	ENSP00000359361
DDX46	ENSP00000416534
DDX47	ENSP00000350698
DDX49	ENSP00000247003
DDX4	ENSP00000424838
DDX50	ENSP00000362687
DDX51	ENSP00000380495
DDX52	ENSP00000479504
DDX53	ENSP00000368667
DDX54	ENSP00000323858
DDX55	ENSP00000238146
DDX56	ENSP00000258772
DDX58	ENSP00000369213
DDX59	ENSP00000330460
DDX5	ENSP00000225792
DDX60	ENSP00000377344
DDX60L	ENSP00000422423
DDX6	ENSP00000442266
DEAF1	ENSP00000371846
DECR1	ENSP00000220764
DECR2	ENSP00000219481
DEDD2	ENSP00000470082
DEDD	ENSP00000356984
DEF6	ENSP00000319831
DEF8	ENSP00000268676
DEFA1	ENSP00000372139
DEFA5	ENSP00000329890
DEFA6	ENSP00000297436
DEFB105B	ENSP00000335281
DEFB110	ENSP00000360190
DEFB113	ENSP00000381703
DEFB115	ENSP00000383398
DEFB119	ENSP00000365492
DEFB121	ENSP00000417128
DEFB126	ENSP00000371835
DEFB128	ENSP00000335382
DEFB129	ENSP00000246105
DEFB132	ENSP00000371813
DEFB134	ENSP00000435010
DEFB135	ENSP00000371643
DEGS1	ENSP00000316476
DEGS2	ENSP00000307126
DEK	ENSP00000498320
DENND1A	ENSP00000362727
DENND1B	ENSP00000479816
DENND1C	ENSP00000370889
DENND2A	ENSP00000275884
DENND2C	ENSP00000376955
DENND2D	ENSP00000350266
DENND3	ENSP00000428714
DENND4A	ENSP00000489304
DENND4B	ENSP00000354597
DENND4C	ENSP00000473469
DENND5A	ENSP00000328524
DENND5B	ENSP00000444889
DENND6A	ENSP00000311401
DENND6B	ENSP00000391524
DEPDC1B	ENSP00000265036
DEPDC1	ENSP00000412292
DEPDC5	ENSP00000371546
DEPDC7	ENSP00000241051
DEPTOR	ENSP00000286234
DERA	ENSP00000416583
DERL1	ENSP00000259512
DERL2	ENSP00000158771
DERL3	ENSP00000384744
DES	ENSP00000363071
DESI1	ENSP00000263256
DESI2	ENSP00000306528
DET1	ENSP00000456340
DEUP1	ENSP00000298050
DFFA	ENSP00000366237
DFFB	ENSP00000339524
DGAT1	ENSP00000482264
DGAT2	ENSP00000228027
DGAT2L6	ENSP00000328036
DGCR2	ENSP00000263196
DGCR8	ENSP00000263209
DGKA	ENSP00000328405
DGKB	ENSP00000385780
DGKD	ENSP00000264057
DGKE	ENSP00000284061
DGKG	ENSP00000265022
DGKH	ENSP00000337572
DGKI	ENSP00000396078
DGKK	ENSP00000477515
DGKZ	ENSP00000412178
DGUOK	ENSP00000264093
DHCR24	ENSP00000440191
DHCR7	ENSP00000384739
DHDDS	ENSP00000353104
DHDH	ENSP00000221403
DHFR	ENSP00000396308
DHH	ENSP00000497483
DHODH	ENSP00000219240
DHPS	ENSP00000482709
DHRS11	ENSP00000482704
DHRS12	ENSP00000411565
DHRS13	ENSP00000368173
DHRS1	ENSP00000288111
DHRS2	ENSP00000344674
DHRS3	ENSP00000480439
DHRS4	ENSP00000326219
DHRS7B	ENSP00000378887
DHRS7C	ENSP00000327975
DHRS7	ENSP00000451882
DHRS9	ENSP00000389241
DHRSX	ENSP00000334113
DHTKD1	ENSP00000263035
DHX15	ENSP00000336741
DHX16	ENSP00000365625
DHX29	ENSP00000481966
DHX30	ENSP00000394682
DHX32	ENSP00000284690
DHX33	ENSP00000225296
DHX34	ENSP00000331907
DHX35	ENSP00000252011
DHX36	ENSP00000417078
DHX37	ENSP00000311135
DHX38	ENSP00000268482
DHX40	ENSP00000251241
DHX57	ENSP00000405111
DHX58	ENSP00000251642
DHX8	ENSP00000496923
DHX9	ENSP00000356520
DIABLO	ENSP00000398495
DIAPH1	ENSP00000373706
DIAPH2	ENSP00000362145
DIAPH3	ENSP00000383178
DICER1	ENSP00000343745
DIP2A	ENSP00000498874
DIP2B	ENSP00000301180
DIP2C	ENSP00000489203
DIRAS1	ENSP00000325836
DIRAS2	ENSP00000364919
DIRAS3	ENSP00000360020
DIS3	ENSP00000366997
DIS3L2	ENSP00000386799
DIS3L	ENSP00000321711
DISC1	ENSP00000403888
DISP1	ENSP00000284476
DISP2	ENSP00000267889
DISP3	ENSP00000294484
DIXDC1	ENSP00000394352
DKC1	ENSP00000358563
DKK1	ENSP00000363081
DKK2	ENSP00000285311
DKK3	ENSP00000433112
DKK4	ENSP00000220812
DKKL1	ENSP00000221498
DLAT	ENSP00000280346
DLC1	ENSP00000276297
DLD	ENSP00000205402
DLEC1	ENSP00000315914
DLEU7	ENSP00000427177
DLG1	ENSP00000345731
DLG3	ENSP00000194900
DLG4	ENSP00000497806
DLG5	ENSP00000361467
DLGAP2	ENSP00000489774
DLGAP3	ENSP00000362444
DLGAP4	ENSP00000363014
DLGAP5	ENSP00000247191
DLK1	ENSP00000340292
DLK2	ENSP00000361566
DLL1	ENSP00000355718
DLL3	ENSP00000205143
DLL4	ENSP00000249749
DLST	ENSP00000335304
DLX1	ENSP00000354478
DLX2	ENSP00000234198
DLX3	ENSP00000389870
DLX4	ENSP00000240306
DLX5	ENSP00000498116
DLX6	ENSP00000428480
DMAP1	ENSP00000354697
DMBT1	ENSP00000342210
DMBX1	ENSP00000361024
DMC1	ENSP00000216024
DMD	ENSP00000354923
DMGDH	ENSP00000255189
DMKN	ENSP00000342012
DMP1	ENSP00000340935
DMPK	ENSP00000345997
DMRT1	ENSP00000371711
DMRT2	ENSP00000350865
DMRT3	ENSP00000190165
DMRTA1	ENSP00000319651
DMRTA2	ENSP00000399370
DMRTB1	ENSP00000360500
DMRTC1	ENSP00000471224
DMRTC2	ENSP00000469525
DMTF1	ENSP00000332171
DMTN	ENSP00000265800
DMWD	ENSP00000270223
DMXL1	ENSP00000439479
DMXL2	ENSP00000441858
DNA2	ENSP00000351185
DNAAF1	ENSP00000367815
DNAAF2	ENSP00000298292
DNAAF3	ENSP00000436975
DNAAF5	ENSP00000297440
DNAH10	ENSP00000386770
DNAH12	ENSP00000418137
DNAH14	ENSP00000392061
DNAH17	ENSP00000374490
DNAH1	ENSP00000401514
DNAH2	ENSP00000458355
DNAH3	ENSP00000261383
DNAH5	ENSP00000265104
DNAH7	ENSP00000311273
DNAH8	ENSP00000333363
DNAH9	ENSP00000262442
DNAI1	ENSP00000480538
DNAI2	ENSP00000464197
DNAJA1	ENSP00000369127
DNAJA2	ENSP00000314030
DNAJA3	ENSP00000262375
DNAJA4	ENSP00000378324
DNAJB11	ENSP00000414398
DNAJB12	ENSP00000378363
DNAJB13	ENSP00000344431
DNAJB14	ENSP00000404381
DNAJB1	ENSP00000254322
DNAJB2	ENSP00000338019
DNAJB4	ENSP00000359799
DNAJB5	ENSP00000404079
DNAJB6	ENSP00000488263
DNAJB7	ENSP00000307197
DNAJB8	ENSP00000417418
DNAJB9	ENSP00000249356
DNAJC10	ENSP00000264065
DNAJC11	ENSP00000366800
DNAJC12	ENSP00000474215
DNAJC13	ENSP00000260818
DNAJC14	ENSP00000350223
DNAJC15	ENSP00000368523
DNAJC16	ENSP00000365007
DNAJC17	ENSP00000220496
DNAJC18	ENSP00000302843
DNAJC19	ENSP00000372005
DNAJC1	ENSP00000366179
DNAJC21	ENSP00000371451
DNAJC22	ENSP00000446830
DNAJC24	ENSP00000417548
DNAJC25	ENSP00000320650
DNAJC27	ENSP00000264711
DNAJC28	ENSP00000371373
DNAJC2	ENSP00000368565
DNAJC30	ENSP00000378605
DNAJC3	ENSP00000473631
DNAJC4	ENSP00000320548
DNAJC5B	ENSP00000276570
DNAJC5	ENSP00000354111
DNAJC5G	ENSP00000296097
DNAJC6	ENSP00000360108
DNAJC7	ENSP00000406463
DNAJC8	ENSP00000263697
DNAJC9	ENSP00000362041
DNAL1	ENSP00000452037
DNAL4	ENSP00000216068
DNALI1	ENSP00000296218
DNASE1	ENSP00000385905
DNASE1L1	ENSP00000358822
DNASE1L2	ENSP00000454562
DNASE1L3	ENSP00000378053
DNASE2B	ENSP00000359699
DNASE2	ENSP00000222219
DND1	ENSP00000445366
DNER	ENSP00000345229
DNLZ	ENSP00000360803
DNM1	ENSP00000362014
DNM1L	ENSP00000449089
DNM2	ENSP00000373905
DNMBP	ENSP00000315659
DNMT1	ENSP00000352516
DNMT3A	ENSP00000264709
DNMT3B	ENSP00000328547
DNMT3L	ENSP00000270172
DNPEP	ENSP00000431076
DNPH1	ENSP00000230431
DNTT	ENSP00000360216
DNTTIP1	ENSP00000361705
DNTTIP2	ENSP00000411010
DOC2A	ENSP00000340017
DOC2B	ENSP00000482950
DOCK10	ENSP00000493664
DOCK11	ENSP00000276204
DOCK1	ENSP00000485033
DOCK2	ENSP00000429283
DOCK3	ENSP00000266037
DOCK4	ENSP00000410746
DOCK5	ENSP00000276440
DOCK6	ENSP00000294618
DOCK7	ENSP00000489124
DOCK8	ENSP00000394888
DOHH	ENSP00000398882
DOK1	ENSP00000233668
DOK2	ENSP00000276420
DOK3	ENSP00000349727
DOK4	ENSP00000455566
DOK5	ENSP00000262593
DOK6	ENSP00000372160
DOK7	ENSP00000344432
DOLK	ENSP00000361667
DOLPP1	ENSP00000361625
DONSON	ENSP00000307143
DOT1L	ENSP00000381657
DPAGT1	ENSP00000386597
DPCD	ENSP00000359170
DPEP1	ENSP00000376807
DPEP2	ENSP00000377430
DPEP3	ENSP00000268793
DPF1	ENSP00000347716
DPF2	ENSP00000252268
DPF3	ENSP00000381791
DPH1	ENSP00000263083
DPH2	ENSP00000255108
DPH3	ENSP00000419599
DPH5	ENSP00000359127
DPH6	ENSP00000256538
DPM1	ENSP00000360638
DPM2	ENSP00000362202
DPM3	ENSP00000357384
DPP10	ENSP00000376855
DPP3	ENSP00000432782
DPP4	ENSP00000353731
DPP6	ENSP00000367001
DPP7	ENSP00000360635
DPP8	ENSP00000339208
DPP9	ENSP00000262960
DPPA2	ENSP00000417710
DPPA3	ENSP00000339250
DPPA4	ENSP00000335306
DPPA5	ENSP00000359396
DPRX	ENSP00000365838
DPT	ENSP00000356791
DPY19L3	ENSP00000344937
DPY19L4	ENSP00000389630
DPY30	ENSP00000345837
DPYD	ENSP00000359211
DPYS	ENSP00000276651
DPYSL2	ENSP00000427985
DPYSL3	ENSP00000343690
DPYSL4	ENSP00000339850
DPYSL5	ENSP00000288699
DQX1	ENSP00000377523
DR1	ENSP00000359295
DRAM1	ENSP00000258534
DRAM2	ENSP00000286692
DRAP1	ENSP00000366190
DRAXIN	ENSP00000294485
DRC1	ENSP00000288710
DRC3	ENSP00000382140
DRC7	ENSP00000353942
DRD1	ENSP00000377353
DRD2	ENSP00000438215
DRD3	ENSP00000373169
DRD4	ENSP00000176183
DRD5	ENSP00000306129
DRG1	ENSP00000329715
DRG2	ENSP00000225729
DRGX	ENSP00000363254
DRICH1	ENSP00000316137
DROSHA	ENSP00000425979
DRP2	ENSP00000385038
DSC1	ENSP00000257198
DSC2	ENSP00000280904
DSC3	ENSP00000353608
DSCAM	ENSP00000383303
DSCAML1	ENSP00000315465
DSCC1	ENSP00000322180
DSE	ENSP00000404049
DSEL	ENSP00000310565
DSG1	ENSP00000257192
DSG2	ENSP00000261590
DSG3	ENSP00000257189
DSG4	ENSP00000352785
DSN1	ENSP00000362855
DSP	ENSP00000369129
DSPP	ENSP00000498766
DSTN	ENSP00000246069
DSTYK	ENSP00000356130
DTD1	ENSP00000495845
DTD2	ENSP00000312224
DTHD1	ENSP00000492542
DTL	ENSP00000355958
DTNA	ENSP00000382064
DTNB	ENSP00000384084
DTWD1	ENSP00000385399
DTWD2	ENSP00000425048
DTX1	ENSP00000257600
DTX2	ENSP00000322885
DTX3	ENSP00000448696
DTX3L	ENSP00000296161
DTX4	ENSP00000227451
DTYMK	ENSP00000304802
DUOX1	ENSP00000317997
DUOX2	ENSP00000373691
DUOXA1	ENSP00000267803
DUOXA2	ENSP00000319705
DUPD1	ENSP00000340609
DUS1L	ENSP00000303515
DUS2	ENSP00000455229
DUS3L	ENSP00000311977
DUS4L	ENSP00000265720
DUSP10	ENSP00000355866
DUSP11	ENSP00000272444
DUSP12	ENSP00000356920
DUSP13	ENSP00000475626
DUSP14	ENSP00000478595
DUSP15	ENSP00000278979
DUSP16	ENSP00000298573
DUSP18	ENSP00000385463
DUSP19	ENSP00000346160
DUSP1	ENSP00000239223
DUSP21	ENSP00000343244
DUSP22	ENSP00000397459
DUSP23	ENSP00000357089
DUSP26	ENSP00000256261
DUSP27	ENSP00000354483
DUSP28	ENSP00000385885
DUSP2	ENSP00000288943
DUSP3	ENSP00000226004
DUSP4	ENSP00000240100
DUSP5	ENSP00000358596
DUSP6	ENSP00000279488
DUSP7	ENSP00000417183
DUSP8	ENSP00000380530
DUSP9	ENSP00000359186
DUT	ENSP00000370376
DUX4	ENSP00000456539
DUXA	ENSP00000452398
DUXB	ENSP00000491301
DVL1	ENSP00000368166
DVL2	ENSP00000005340
DVL3	ENSP00000316054
DXO	ENSP00000337759
DYDC1	ENSP00000361278
DYDC2	ENSP00000361272
DYM	ENSP00000269445
DYNAP	ENSP00000315265
DYNC1H1	ENSP00000348965
DYNC1I1	ENSP00000320130
DYNC1I2	ENSP00000380308
DYNC1LI1	ENSP00000273130
DYNC1LI2	ENSP00000258198
DYNC2H1	ENSP00000497174
DYNC2LI1	ENSP00000474032
DYNLL1	ENSP00000376297
DYNLL2	ENSP00000477310
DYNLRB1	ENSP00000363979
DYNLRB2	ENSP00000455791
DYNLT1	ENSP00000356056
DYNLT3	ENSP00000367844
DYRK1A	ENSP00000494544
DYRK1B	ENSP00000469863
DYRK2	ENSP00000342105
DYRK3	ENSP00000356076
DYRK4	ENSP00000439697
DYSF	ENSP00000386881
DYTN	ENSP00000396593
DZANK1	ENSP00000351734
DZIP1L	ENSP00000332148
DZIP3	ENSP00000355028
E2F1	ENSP00000345571
E2F2	ENSP00000355249
E2F3	ENSP00000262904
E2F4	ENSP00000368686
E2F5	ENSP00000398124
E2F6	ENSP00000370936
E2F7	ENSP00000323246
E2F8	ENSP00000434199
E4F1	ENSP00000301727
EAF1	ENSP00000380054
EAF2	ENSP00000410708
EAPP	ENSP00000250454
EARS2	ENSP00000456218
EBAG9	ENSP00000432082
EBF3	ENSP00000347463
EBF4	ENSP00000477023
EBI3	ENSP00000221847
EBNA1BP2	ENSP00000407323
EBP	ENSP00000417052
EBPL	ENSP00000242827
ECD	ENSP00000401566
ECE1	ENSP00000497333
ECEL1	ENSP00000302051
ECH1	ENSP00000221418
ECHDC1	ENSP00000436585
ECHDC2	ENSP00000360577
ECHDC3	ENSP00000368517
ECHS1	ENSP00000357535
ECI1	ENSP00000301729
ECI2	ENSP00000369461
ECM1	ENSP00000358045
ECM2	ENSP00000344758
ECSCR	ENSP00000479243
ECSIT	ENSP00000270517
ECT2	ENSP00000376457
ECT2L	ENSP00000387388
EDA2R	ENSP00000253392
EDA	ENSP00000363680
EDARADD	ENSP00000335076
EDAR	ENSP00000386371
EDC3	ENSP00000320503
EDC4	ENSP00000351811
EDDM3A	ENSP00000315098
EDDM3B	ENSP00000314810
EDEM1	ENSP00000256497
EDEM2	ENSP00000363616
EDEM3	ENSP00000318147
EDF1	ENSP00000224073
EDIL3	ENSP00000296591
EDN1	ENSP00000368683
EDN2	ENSP00000361668
EDN3	ENSP00000337128
EDNRA	ENSP00000498969
EDNRB	ENSP00000366416
EDRF1	ENSP00000349244
EEA1	ENSP00000317955
EED	ENSP00000338186
EEF1A1	ENSP00000339063
EEF1A2	ENSP00000217182
EEF1AKMT1	ENSP00000372206
EEF1B2	ENSP00000236957
EEF1D	ENSP00000434070
EEF1E1	ENSP00000369038
EEF1G	ENSP00000331901
EEF2	ENSP00000307940
EEF2K	ENSP00000263026
EEF2KMT	ENSP00000398502
EEFSEC	ENSP00000254730
EEPD1	ENSP00000242108
EFCAB10	ENSP00000417841
EFCAB11	ENSP00000326267
EFCAB12	ENSP00000420854
EFCAB13	ENSP00000332111
EFCAB14	ENSP00000361001
EFCAB1	ENSP00000262103
EFCAB2	ENSP00000355479
EFCAB3	ENSP00000403932
EFCAB5	ENSP00000378312
EFCAB6	ENSP00000262726
EFCAB7	ENSP00000360129
EFCAB8	ENSP00000383366
EFCAB9	ENSP00000381247
EFCC1	ENSP00000414597
EFEMP1	ENSP00000378058
EFEMP2	ENSP00000435295
EFHB	ENSP00000295824
EFHC1	ENSP00000490441
EFHC2	ENSP00000404232
EFHD1	ENSP00000264059
EFHD2	ENSP00000365147
EFL1	ENSP00000268206
EFNA1	ENSP00000357392
EFNA2	ENSP00000215368
EFNA3	ENSP00000357393
EFNA4	ENSP00000414378
EFNA5	ENSP00000328777
EFNB1	ENSP00000204961
EFNB2	ENSP00000493716
EFNB3	ENSP00000226091
EFR3A	ENSP00000490312
EFR3B	ENSP00000384081
EFS	ENSP00000216733
EFTUD2	ENSP00000392094
EGF	ENSP00000265171
EGFL6	ENSP00000369976
EGFL7	ENSP00000360764
EGFL8	ENSP00000333380
EGFLAM	ENSP00000346964
EGFR	ENSP00000275493
EGLN2	ENSP00000307080
EGLN3	ENSP00000250457
EGR1	ENSP00000239938
EGR2	ENSP00000242480
EGR3	ENSP00000318057
EGR4	ENSP00000445626
EHBP1	ENSP00000263991
EHBP1L1	ENSP00000312671
EHD1	ENSP00000479153
EHD2	ENSP00000263277
EHD3	ENSP00000327116
EHD4	ENSP00000220325
EHF	ENSP00000435835
EHHADH	ENSP00000231887
EHMT1	ENSP00000417980
EHMT2	ENSP00000379078
EI24	ENSP00000278903
EID1	ENSP00000431162
EID2B	ENSP00000317564
EID2	ENSP00000375073
EID3	ENSP00000435619
EIF1AD	ENSP00000436644
EIF1AX	ENSP00000368927
EIF2A	ENSP00000417229
EIF2AK1	ENSP00000199389
EIF2AK2	ENSP00000233057
EIF2AK3	ENSP00000307235
EIF2AK4	ENSP00000263791
EIF2B1	ENSP00000416250
EIF2B2	ENSP00000266126
EIF2B3	ENSP00000353575
EIF2B4	ENSP00000429323
EIF2B5	ENSP00000498164
EIF2D	ENSP00000271764
EIF2S1	ENSP00000256383
EIF2S2	ENSP00000364119
EIF2S3	ENSP00000253039
EIF3A	ENSP00000358140
EIF3B	ENSP00000354125
EIF3C	ENSP00000457963
EIF3D	ENSP00000216190
EIF3E	ENSP00000220849
EIF3F	ENSP00000431800
EIF3G	ENSP00000253108
EIF3H	ENSP00000276682
EIF3I	ENSP00000362688
EIF3J	ENSP00000261868
EIF3K	ENSP00000248342
EIF3L	ENSP00000416892
EIF3M	ENSP00000436049
EIF4A1	ENSP00000293831
EIF4A2	ENSP00000398370
EIF4A3	ENSP00000497641
EIF4B	ENSP00000388806
EIF4E1B	ENSP00000497422
EIF4E2	ENSP00000258416
EIF4E3	ENSP00000393324
EIF4EBP1	ENSP00000340691
EIF4EBP2	ENSP00000362314
EIF4ENIF1	ENSP00000380659
EIF4G1	ENSP00000371767
EIF4G2	ENSP00000433664
EIF4G3	ENSP00000383274
EIF4H	ENSP00000265753
EIF5A2	ENSP00000295822
EIF5A	ENSP00000461688
EIF5B	ENSP00000289371
EIF5	ENSP00000216554
EIF6	ENSP00000363559
ELAC2	ENSP00000337445
ELAVL1	ENSP00000385269
ELAVL3	ENSP00000352162
ELAVL4	ENSP00000349594
ELF1	ENSP00000239882
ELF2	ENSP00000368868
ELF3	ENSP00000352673
ELF4	ENSP00000338608
ELF5	ENSP00000311010
ELFN1	ENSP00000456548
ELFN2	ENSP00000385277
ELK1	ENSP00000247161
ELK3	ENSP00000228741
ELK4	ENSP00000483628
ELL2	ENSP00000237853
ELL3	ENSP00000320346
ELL	ENSP00000262809
ELMO1	ENSP00000312185
ELMO2	ENSP00000290246
ELMO3	ENSP00000498602
ELMOD1	ENSP00000265840
ELMOD2	ENSP00000326342
ELMOD3	ENSP00000318264
ELMSAN1	ENSP00000407767
ELOF1	ENSP00000466665
ELOVL1	ENSP00000361536
ELOVL2	ENSP00000346693
ELOVL3	ENSP00000359022
ELOVL4	ENSP00000358831
ELOVL5	ENSP00000359956
ELOVL6	ENSP00000378105
ELOVL7	ENSP00000424123
ELP2	ENSP00000414851
ELP3	ENSP00000256398
ELP4	ENSP00000379267
ELP6	ENSP00000296149
ELSPBP1	ENSP00000340660
EMB	ENSP00000302289
EMC10	ENSP00000472420
EMC1	ENSP00000420608
EMC2	ENSP00000220853
EMC3	ENSP00000245046
EMC4	ENSP00000267750
EMC6	ENSP00000248378
EMC7	ENSP00000256545
EMC8	ENSP00000253457
EMC9	ENSP00000403210
EMCN	ENSP00000296420
EMD	ENSP00000358857
EME1	ENSP00000421700
EME2	ENSP00000457353
EMG1	ENSP00000470560
EMID1	ENSP00000384452
EMILIN1	ENSP00000369677
EMILIN2	ENSP00000254528
EMILIN3	ENSP00000332806
EML1	ENSP00000498100
EML2	ENSP00000468312
EML3	ENSP00000434513
EML4	ENSP00000384939
EML5	ENSP00000451998
EML6	ENSP00000348842
EMP2	ENSP00000352540
EMP3	ENSP00000270221
EMSY	ENSP00000433205
EMX1	ENSP00000258106
EMX2	ENSP00000450962
EN1	ENSP00000295206
EN2	ENSP00000297375
ENAH	ENSP00000489607
ENAM	ENSP00000379383
ENC1	ENSP00000306356
ENDOD1	ENSP00000278505
ENDOG	ENSP00000361725
ENDOU	ENSP00000397679
ENDOV	ENSP00000429190
ENGASE	ENSP00000462333
ENG	ENSP00000362299
ENKD1	ENSP00000243878
ENKUR	ENSP00000331044
ENO1	ENSP00000234590
ENO2	ENSP00000438873
ENO3	ENSP00000324105
ENO4	ENSP00000482973
ENOPH1	ENSP00000273920
ENOX1	ENSP00000261488
ENOX2	ENSP00000359965
ENPEP	ENSP00000265162
ENPP1	ENSP00000498074
ENPP2	ENSP00000259486
ENPP3	ENSP00000406261
ENPP4	ENSP00000318066
ENPP5	ENSP00000360436
ENPP6	ENSP00000296741
ENPP7	ENSP00000332656
ENTHD1	ENSP00000317431
ENTPD1	ENSP00000360250
ENTPD2	ENSP00000347213
ENTPD3	ENSP00000301825
ENTPD4	ENSP00000351520
ENTPD5	ENSP00000335246
ENTPD6	ENSP00000365840
ENTPD7	ENSP00000359520
ENTPD8	ENSP00000420531
ENY2	ENSP00000429986
EOGT	ENSP00000373206
EOMES	ENSP00000388620
EP300	ENSP00000263253
EPAS1	ENSP00000263734
EPB41L1	ENSP00000337168
EPB41L2	ENSP00000338481
EPB41L3	ENSP00000343158
EPB41L4A	ENSP00000261486
EPB41L4B	ENSP00000363694
EPB41L5	ENSP00000263713
EPB42	ENSP00000497777
EPC1	ENSP00000263062
EPCAM	ENSP00000385476
EPG5	ENSP00000282041
EPGN	ENSP00000411898
EPHA10	ENSP00000397746
EPHA1	ENSP00000275815
EPHA2	ENSP00000351209
EPHA3	ENSP00000337451
EPHA4	ENSP00000386829
EPHA5	ENSP00000480763
EPHA7	ENSP00000358309
EPHA8	ENSP00000166244
EPHB1	ENSP00000497153
EPHB2	ENSP00000383053
EPHB3	ENSP00000332118
EPHB4	ENSP00000350896
EPHB6	ENSP00000481994
EPHX1	ENSP00000355802
EPHX2	ENSP00000430269
EPHX3	ENSP00000221730
EPHX4	ENSP00000359410
EPM2A	ENSP00000356489
EPM2AIP1	ENSP00000406027
EPN1	ENSP00000406209
EPN2	ENSP00000320543
EPN3	ENSP00000268933
EPO	ENSP00000252723
EPOR	ENSP00000222139
EPPIN-WFDC6	ENSP00000498632
EPS15	ENSP00000360798
EPS15L1	ENSP00000393313
EPS8	ENSP00000495312
EPS8L1	ENSP00000201647
EPS8L2	ENSP00000497389
EPS8L3	ENSP00000358820
EPSTI1	ENSP00000318982
EPX	ENSP00000225371
EPYC	ENSP00000261172
EQTN	ENSP00000369371
ERAL1	ENSP00000254928
ERAP1	ENSP00000296754
ERAP2	ENSP00000400376
ERAS	ENSP00000490793
ERBB2	ENSP00000269571
ERBB3	ENSP00000267101
ERBB4	ENSP00000342235
ERBIN	ENSP00000426632
ERC1	ENSP00000442739
ERCC1	ENSP00000013807
ERCC2	ENSP00000375809
ERCC3	ENSP00000495619
ERCC4	ENSP00000310520
ERCC5	ENSP00000473384
ERCC6	ENSP00000348089
ERCC6L2	ENSP00000499221
ERCC8	ENSP00000265038
EREG	ENSP00000244869
ERFE	ENSP00000442304
ERF	ENSP00000222329
ERG	ENSP00000414150
ERGIC1	ENSP00000377374
ERGIC2	ENSP00000478266
ERGIC3	ENSP00000349970
ERH	ENSP00000451080
ERI1	ENSP00000429615
ERI2	ENSP00000350651
ERI3	ENSP00000361331
ERICH1	ENSP00000262109
ERICH3	ENSP00000322609
ERICH4	ENSP00000367429
ERICH5	ENSP00000315614
ERICH6B	ENSP00000298738
ERICH6	ENSP00000295910
ERLEC1	ENSP00000185150
ERLIN1	ENSP00000410964
ERLIN2	ENSP00000428112
ERMAP	ENSP00000361595
ERMARD	ENSP00000355735
ERMN	ENSP00000380453
ERN1	ENSP00000401445
ERN2	ENSP00000256797
ERO1B	ENSP00000346635
ERP29	ENSP00000261735
ERP44	ENSP00000262455
ERRFI1	ENSP00000366702
ERV3-1	ENSP00000391594
ERVFRD-1	ENSP00000420174
ERVK3-1	ENSP00000489018
ERVMER34-1	ENSP00000460602
ERVV-2	ENSP00000472919
ERVW-1	ENSP00000474984
ESAM	ENSP00000278927
ESCO1	ENSP00000269214
ESCO2	ENSP00000306999
ESD	ENSP00000367992
ESF1	ENSP00000202816
ESM1	ENSP00000370812
ESPL1	ENSP00000449831
ESPN	ENSP00000490186
ESPNL	ENSP00000339115
ESR1	ENSP00000342630
ESR2	ENSP00000343925
ESRP1	ENSP00000405738
ESRP2	ENSP00000454554
ESRRA	ENSP00000000442
ESRRB	ENSP00000370270
ESRRG	ENSP00000355904
ESX1	ENSP00000361669
ESYT1	ENSP00000267113
ESYT2	ENSP00000481296
ESYT3	ENSP00000374218
ETAA1	ENSP00000272342
ETF1	ENSP00000353741
ETFA	ENSP00000452762
ETFB	ENSP00000346173
ETFBKMT	ENSP00000396123
ETFDH	ENSP00000426638
ETFRF1	ENSP00000370761
ETHE1	ENSP00000469037
ETNK1	ENSP00000266517
ETNK2	ENSP00000356169
ETNPPL	ENSP00000296486
ETS2	ENSP00000499540
ETV1	ENSP00000384085
ETV2	ENSP00000368312
ETV3L	ENSP00000430271
ETV4	ENSP00000321835
ETV5	ENSP00000306894
ETV6	ENSP00000379658
ETV7	ENSP00000341843
EVA1A	ENSP00000377490
EVA1B	ENSP00000270824
EVA1C	ENSP00000300255
EVC2	ENSP00000342144
EVC	ENSP00000264956
EVI2A	ENSP00000247270
EVI2B	ENSP00000333779
EVI5	ENSP00000440826
EVI5L	ENSP00000445905
EVL	ENSP00000376652
EVPL	ENSP00000465630
EVX1	ENSP00000419266
EVX2	ENSP00000312385
EWSR1	ENSP00000400142
EXD1	ENSP00000415056
EXD2	ENSP00000387331
EXD3	ENSP00000340474
EXO1	ENSP00000355506
EXO5	ENSP00000351328
EXOC1	ENSP00000370695
EXOC2	ENSP00000230449
EXOC3	ENSP00000425587
EXOC3L1	ENSP00000325674
EXOC3L2	ENSP00000400713
EXOC3L4	ENSP00000369409
EXOC4	ENSP00000253861
EXOC5	ENSP00000389934
EXOC6B	ENSP00000489442
EXOC6	ENSP00000260762
EXOC7	ENSP00000334100
EXOC8	ENSP00000355605
EXOG	ENSP00000287675
EXOSC10	ENSP00000366135
EXOSC1	ENSP00000359939
EXOSC2	ENSP00000361433
EXOSC3	ENSP00000323046
EXOSC4	ENSP00000315476
EXOSC5	ENSP00000221233
EXOSC6	ENSP00000398597
EXOSC7	ENSP00000265564
EXOSC8	ENSP00000374354
EXOSC9	ENSP00000368984
EXPH5	ENSP00000265843
EXT1	ENSP00000367446
EXT2	ENSP00000379032
EXTL1	ENSP00000363398
EXTL2	ENSP00000359131
EXTL3	ENSP00000220562
EYA1	ENSP00000495390
